"rule_rank","support_pct","n_years_approx","pvalue","mean_deviation","stdev","direction","n_conditions","sentences","features","condition_3","raw_subgroup"
20,23.6,21,0.0228,128.044,203.969,"above-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 74.2 mm and 101 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[74.2|101)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
20,23.6,21,0.0228,128.044,203.969,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.29 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_hv_y1_b20=[74.2|101)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
20,23.6,21,0.0228,128.044,203.969,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"swa_hv_y1_b20=[74.2|101)|days.maxTemp.above.35_fl_y1_a20=[0|1.29)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
21,21.3,19,0.0231,102.087,150.987,"above-trend",2,"Available soil water in the 30 days after Flowering (current year) is between 355 mm and 376 mm","swa_fl_y1_a30",NA,"swa_fl_y1_a30=[355|376)|days.rf.above.1mm_hv_y1_c10=[0|2.6)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
21,21.3,19,0.0231,102.087,150.987,"above-trend",2,"Wet days (daily rainfall above 1 mm) in a 10-day window centred on Harvest (current year) is between 0 days and 2.6 days","days.rf.above.1mm_hv_y1_c10",NA,"swa_fl_y1_a30=[355|376)|days.rf.above.1mm_hv_y1_c10=[0|2.6)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
21,21.3,19,0.0231,102.087,150.987,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Start of Maturity (current year) is between 0 days and 3.46 days","days.rf.above.1mm_sm_y1_a20",NA,"swa_fl_y1_a30=[355|376)|days.rf.above.1mm_hv_y1_c10=[0|2.6)|days.rf.above.1mm_sm_y1_a20=[0|3.46)"
22,22.5,20,0.0233,104.185,162.117,"above-trend",2,"Wet days (daily rainfall above 1 mm) in the 20 days after Flowering (current year) is between 0 days and 3.33 days","days.rf.above.1mm_fl_y1_a20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
22,22.5,20,0.0233,104.185,162.117,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 3.66 days","days.tempMax.above.35_sm_y1_b20",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
22,22.5,20,0.0233,104.185,162.117,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 10 days after Flowering (current year) is between 0 days and 0.643 days","days.maxTemp.above.35_fl_y1_a10",NA,"days.rf.above.1mm_fl_y1_a20=[0|3.33)|days.tempMax.above.35_sm_y1_b20=[0|3.66)|days.maxTemp.above.35_fl_y1_a10=[0|0.643)"
23,33.7,30,0.0244,-116.752,210.013,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 141 mm and 231 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[141|231]"
