"rule_rank","support_pct","n_years_approx","pvalue","mean_deviation","stdev","direction","n_conditions","sentences","features","condition_3","raw_subgroup"
15,20,16,0.0403,-268.792,569.57,"below-trend",2,"Frost days (minimum temperature below 0°C) in a 20-day window centred on Bud Break (current year) is between 0 days and 1.53 days","days_minTemp.less.0_bb_y1_c20",NA,"tm_fl_y1_c15=[13.8|17.1)|tm_fl_y1_a10=[12.6|17.5)|sw.above.09fc_fl_y0_a20=[17.5|20]|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
16,23.8,19,0.0411,281.086,429.353,"above-trend",2,"Available soil water in the 15 days after Flowering (current year) is between 81.4 mm and 115 mm","swa_fl_y1_a15",NA,"swa_fl_y1_a15=[81.4|115)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
16,23.8,19,0.0411,281.086,429.353,"above-trend",2,"Cold days (mean temperature below 15°C) in a 15-day window centred on Flowering (current year) is between 0 days and 3.4 days","tm.days.less.15_fl_y1_c15",NA,"swa_fl_y1_a15=[81.4|115)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
16,23.8,19,0.0411,281.086,429.353,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.14 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_fl_y1_a15=[81.4|115)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
17,23.8,19,0.0411,279.111,426.833,"above-trend",2,"Available soil water in the 30 days after Flowering (current year) is between 77.5 mm and 113 mm","swa_fl_y1_a30",NA,"swa_fl_y1_a30=[77.5|113)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
17,23.8,19,0.0411,279.111,426.833,"above-trend",2,"Cold days (mean temperature below 15°C) in a 15-day window centred on Flowering (current year) is between 0 days and 3.4 days","tm.days.less.15_fl_y1_c15",NA,"swa_fl_y1_a30=[77.5|113)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
17,23.8,19,0.0411,279.111,426.833,"above-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.14 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_fl_y1_a30=[77.5|113)|tm.days.less.15_fl_y1_c15=[0|3.4)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
18,21.2,17,0.0415,-336.921,473.662,"below-trend",2,"Leaf Area Index (IAF) in the 10 days before Flowering (previous year) is between 2.16 m²/m² and 2.21 m²/m²","iaf_fl_y0_b10",NA,"iaf_fl_y0_b10=[2.16|2.21)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
18,21.2,17,0.0415,-336.921,473.662,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 1.91 days","days.tempMax.above.35_sm_y1_b20",NA,"iaf_fl_y0_b10=[2.16|2.21)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
18,21.2,17,0.0415,-336.921,473.662,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"iaf_fl_y0_b10=[2.16|2.21)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
18,21.2,17,0.0415,-336.921,473.662,"below-trend",2,"Frost days (minimum temperature below 0°C) in a 20-day window centred on Bud Break (current year) is between 0 days and 1.53 days","days_minTemp.less.0_bb_y1_c20",NA,"iaf_fl_y0_b10=[2.16|2.21)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)|days_minTemp.less.0_bb_y1_c20=[0|1.53)"
19,22.5,18,0.0464,-296.092,579.084,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 61.5 mm and 97 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
19,22.5,18,0.0464,-296.092,579.084,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 1.91 days","days.tempMax.above.35_sm_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
19,22.5,18,0.0464,-296.092,579.084,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Start of Maturity (current year) is between 0 days and 2.37 days","days.maxTemp.above.35_sm_y1_a20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days.maxTemp.above.35_sm_y1_a20=[0|2.37)"
20,22.5,18,0.0464,-250.049,624.665,"below-trend",2,"Available soil water in the 20 days before Harvest (current year) is between 61.5 mm and 97 mm","swa_hv_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days_minTemp.less.0_bb_y1_c20=[0|1.53)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
20,22.5,18,0.0464,-250.049,624.665,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days before Start of Maturity (current year) is between 0 days and 1.91 days","days.tempMax.above.35_sm_y1_b20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days_minTemp.less.0_bb_y1_c20=[0|1.53)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
20,22.5,18,0.0464,-250.049,624.665,"below-trend",2,"Frost days (minimum temperature below 0°C) in a 20-day window centred on Bud Break (current year) is between 0 days and 1.53 days","days_minTemp.less.0_bb_y1_c20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days_minTemp.less.0_bb_y1_c20=[0|1.53)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
20,22.5,18,0.0464,-250.049,624.665,"below-trend",2,"Heat-stress days (maximum temperature above 35°C) in the 20 days after Flowering (current year) is between 0 days and 1.14 days","days.maxTemp.above.35_fl_y1_a20",NA,"swa_hv_y1_b20=[61.5|97)|days.tempMax.above.35_sm_y1_b20=[0|1.91)|days_minTemp.less.0_bb_y1_c20=[0|1.53)|days.maxTemp.above.35_fl_y1_a20=[0|1.14)"
